CG	OMIM_ID	REF_SEQ	e_value	gene	description	disease
CG8732-PB	300157	NP_075266	0	ACS4;FACL4;MRX63	ACYL-CoA SYNTHETASE 4; ACS4	Mental retardation, X-linked nonspecific, 63, 300387 (3)
CG8732-PC	300157	NP_075266	0	ACS4;FACL4;MRX63	ACYL-CoA SYNTHETASE 4; ACS4	Mental retardation, X-linked nonspecific, 63, 300387 (3)
CG1522-PA	601011	NP_075461	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PA	601011	NP_075461	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PB	601011	NP_075461	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PC	601011	NP_075461	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG4894-PD	601011	NP_075461	0	CACNA1A;CACNL1A4;SCA6	CALCIUM CHANNEL, L TYPE, ALPHA-1 POLYPEPTIDE, ISOFORM 4; CACNL1A4	Cerebellar ataxia, pure (3);Episodic ataxia, type 2, 108500 (3);Hemiplegic migraine, familial, 141500 (3);Spinocerebellar ataxia-6, 183086 (3)
CG3936-PA	600275	NP_077719	0	AGS2;NOTCH2		Alagille syndrome 2, 610205 (3)
CG15792-PA	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG15792-PB	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PA	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PB	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PC	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PD	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PE	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PF	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PG	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PH	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PI	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PJ	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PK	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PL	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG17927-PM	608568	NP_079005	0	DFNA4;KIAA2034;MYH14	KIAA2034;NMHC IIC;NONMUSCLE MYOSIN HEAVY CHAIN IIC	Deafness, autosomal dominant 4, 600652 (3)
CG4567-PA	606639	NP_079272	0	COXPD1;EFG1;GFM;GFM1	ELONGATION FACTOR G1; EFG; EFG1;GFM	Combined oxidative phosphorylation deficiency 1, 609060 (3)
CG6939-PA	607697	NP_112224	0	CMT4B2;MTMR13;SBF2	KIAA1766;MYOTUBULARIN-RELATED 13; MTMR13	Charcot-Marie-Tooth disease, type 4B2, 604563 (3)
CG6939-PB	607697	NP_112224	0	CMT4B2;MTMR13;SBF2	KIAA1766;MYOTUBULARIN-RELATED 13; MTMR13	Charcot-Marie-Tooth disease, type 4B2, 604563 (3)
CG6214-PB	607040	NP_115972	0	ABCC11;MRP8;EWWD;WW	MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 8; MRP8	[Earwax, wet/dry], 117800 (3)
CG18251-PB	608441	NP_149062	0	KIAA0796;KIAA1262;KIAA1756;SCAR8;SYNE1	KIAA0796;KIAA1262;KIAA1756;NESPRIN 1;NUCLEAR ENVELOPE SPECTRIN REPEAT PROTEIN 1	Spinocerebellar ataxia, autosomal recessive 8, 610743 (3)
CG6214-PB	607040	NP_149163	0	ABCC11;MRP8;EWWD;WW	MULTIDRUG RESISTANCE-ASSOCIATED PROTEIN 8; MRP8	[Earwax, wet/dry], 117800 (3)
CG2093-PA	605978	NP_150648	0	CHAC;VPS13A	CHAC GENE; CHAC;CHOREIN;KIAA0986	Choreoacanthocytosis, 200150 (3)
CG8479-PA	605290	NP_570844	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570844	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570845	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570845	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570846	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570846	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570847	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570847	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570848	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570848	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570849	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570849	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PA	605290	NP_570850	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG8479-PB	605290	NP_570850	0	OPA1;NTG;NPG		Optic atrophy 1, 165500 (3);Optic atrophy and deafness, 125250 (3);{Glaucoma, normal tension, susceptibility to}, 606657 (3)
CG12602-PA	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PA	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PB	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PC	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PD	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PE	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PF	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PG	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PH	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG18617-PA	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG18617-PB	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG7678-PA	605239	NP_570855	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG12602-PA	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PA	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PB	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PC	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PD	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PE	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PF	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PG	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG1709-PH	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG18617-PA	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG18617-PB	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG7678-PA	605239	NP_570856	0	ATP6V0A4;ATP6N1B;VPP2;RTA1C;RTADR	1B; ATP6N1B;ATP6N2;ATPase, H+ TRANSPORTING, LYSOSOMAL, NONCATALYTIC ACCESSORY PROTEIN;VACUOLAR PROTEIN PUMP, SUBUNIT 2; VPP2	Renal tubular acidosis, distal, autosomal recessive, 602722 (3)
CG32019-PA	188840	NP_596869	0	CMD1G;HMERF;LGMD2J;MPRM;TMD;TTN	CONNECTIN	Cardiomyopathy, dilated, 1G, 604145 (3);Cardiomyopathy, familial hypertrophic, 9 (3);Muscular dystrophy, limb-girdle, type 2J, 608807 (3);Myopathy, proximal, with early respiratory muscle involvement, 603689 (3);Tibial muscular dystrophy, tardive, 600334 (3)
CG32019-PA	188840	NP_597676	0	CMD1G;HMERF;LGMD2J;MPRM;TMD;TTN	CONNECTIN	Cardiomyopathy, dilated, 1G, 604145 (3);Cardiomyopathy, familial hypertrophic, 9 (3);Muscular dystrophy, limb-girdle, type 2J, 608807 (3);Myopathy, proximal, with early respiratory muscle involvement, 603689 (3);Tibial muscular dystrophy, tardive, 600334 (3)
CG17704-PE	608667	NP_597677	0	CDLS1;NIPBL	DELANGIN	Cornelia de Lange syndrome 1, 122470 (3)
CG32019-PA	188840	NP_597681	0	CMD1G;HMERF;LGMD2J;MPRM;TMD;TTN	CONNECTIN	Cardiomyopathy, dilated, 1G, 604145 (3);Cardiomyopathy, familial hypertrophic, 9 (3);Muscular dystrophy, limb-girdle, type 2J, 608807 (3);Myopathy, proximal, with early respiratory muscle involvement, 603689 (3);Tibial muscular dystrophy, tardive, 600334 (3)
CG17603-PA	313650	NP_620278	0	BA2R;CCG1;DYT3;TAF1;TAF2A	250-KD; TAF1;BA2R;CELL CYCLE BLOCK, G1-TO-S; CCGS;CELL CYCLE GENE 1;CELL CYCLE, G1 PHASE DEFECT; CCG1;TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR 1;TATA BOX-BINDING PROTEIN-ASSOCIATED FACTOR 2A; TAF2A;TBP-ASSOCIATED FACTOR, RNA POLYMERASE II, 250-KD; TAFII250	Dystonia-Parkinsonism, X-linked, 314250 (3)
CG9799-PA	609669	NP_644810	0	GLC1G;TAWDRP;WDR36	T-CELL ACTIVATION WD REPEAT-CONTAINING PROTEIN; TAWDRP	Glaucoma 1, open angle, G, 609887 (3)
CG5670-PA	182350	NP_689509	0	ATP1A3;DYT12;RDP	SODIUM-POTASSIUM-ATPase, ALPHA-3 POLYPEPTIDE	Dystonia-12, 128235 (3)
CG5670-PB	182350	NP_689509	0	ATP1A3;DYT12;RDP	SODIUM-POTASSIUM-ATPase, ALPHA-3 POLYPEPTIDE	Dystonia-12, 128235 (3)
CG5670-PC	182350	NP_689509	0	ATP1A3;DYT12;RDP	SODIUM-POTASSIUM-ATPase, ALPHA-3 POLYPEPTIDE	Dystonia-12, 128235 (3)
CG5670-PD	182350	NP_689509	0	ATP1A3;DYT12;RDP	SODIUM-POTASSIUM-ATPase, ALPHA-3 POLYPEPTIDE	Dystonia-12, 128235 (3)
CG6713-PA	163730	NP_695024	0	NOS2;NOS2A	NITRIC OXIDE SYNTHASE, INDUCIBLE; INOS;NITRIC OXIDE SYNTHASE, MACROPHAGE;NOS2;NOS2A, INDUCIBLE, HEPATOCYTE	{Hypertension, susceptibility to}, 145500 (2);{Malaria, resistance to}, 248310 (3)
CG3725-PA	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PB	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PC	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PD	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PE	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PF	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PG	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG3725-PH	108740	NP_733765	0	ATP2A2;ATP2B;DAR	ATP2B;SARCOPLASMIC RETICULUM Ca(2+)-ATPase 2; SERCA2	Acrokeratosis verruciformis, 101900 (3);Darier disease, 124200 (3)
CG7145-PA	606811	NP_733844	0	ALDH4;ALDH4A1;P5CDH	ALDEHYDE DEHYDROGENASE 4; ALDH4;P5CD;PYRROLINE-5-CARBOXYLATE DEHYDROGENASE; P5CDH	Hyperprolinemia, type II, 239510 (3)
CG7145-PB	606811	NP_733844	0	ALDH4;ALDH4A1;P5CDH	ALDEHYDE DEHYDROGENASE 4; ALDH4;P5CD;PYRROLINE-5-CARBOXYLATE DEHYDROGENASE; P5CDH	Hyperprolinemia, type II, 239510 (3)
CG7145-PD	606811	NP_733844	0	ALDH4;ALDH4A1;P5CDH	ALDEHYDE DEHYDROGENASE 4; ALDH4;P5CD;PYRROLINE-5-CARBOXYLATE DEHYDROGENASE; P5CDH	Hyperprolinemia, type II, 239510 (3)
CG3182-PA	152427	NP_742054	0	HERG;KCNH2;LQT2;SQT1	ERG1;ETHER-A-GO-GO-RELATED GENE, HUMAN;HUMAN ETHER-A-GO-GO-RELATED GENE; HERG	Long QT syndrome-2 (3);Short QT syndrome-1, 609620 (3);{Long QT syndrome, acquired, susceptibility to} (3)
CG3182-PB	152427	NP_742054	0	HERG;KCNH2;LQT2;SQT1	ERG1;ETHER-A-GO-GO-RELATED GENE, HUMAN;HUMAN ETHER-A-GO-GO-RELATED GENE; HERG	Long QT syndrome-2 (3);Short QT syndrome-1, 609620 (3);{Long QT syndrome, acquired, susceptibility to} (3)
CG3725-PA	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PB	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PC	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PD	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PE	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PF	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PG	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG3725-PH	108730	NP_775293	0	ATP2A1;SERCA1	SARCOPLASMIC RETICULUM Ca(2+)-ATPase 1; SERCA1	Brody myopathy, 601003 (3)
CG9086-PA	605981	NP_777576	0	JBS;UBR1		Johanson-Blizzard syndrome, 243800 (3)
CG6235-PA	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PB	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PC	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PD	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PE	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PF	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PG	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PH	604325	NP_858060	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PA	604325	NP_858061	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
CG6235-PB	604325	NP_858061	0	PPP2R2B	B55-BETA;PP2AB-BETA;PP2AB55-BETA;PP2APR55-BETA;PR55-BETA	Spinocerebellar ataxia 12, 604326 (3)
